type,contextAware,rate_in_list,distance,duration,weather,rating,gender,age,mood,accepted
29,0,0,217,58,1,2.3,0,26,6,1
30,0,0,1335,282,1,3.9,0,26,0,1
18,0,0,865,224,0,5,1,33,0,1
0,1,6,595,171,1,5,0,34,6,1
0,1,0,896,193,1,4.1,0,34,6,0
0,1,1,2977,430,0,4.1,0,34,6,0
0,1,2,2849,496,1,2.5,0,34,6,0
0,1,3,3303,524,1,4.1,0,34,6,0
0,1,4,438,119,1,5,0,34,6,0
0,1,5,449,115,1,4.1,0,34,6,0
30,1,4,1127,299,1,4.2,0,10,4,1
30,1,0,2131,493,1,3.7,0,10,4,0
30,1,1,1490,375,1,4.2,0,10,4,0
0,1,2,1461,323,0,3.7,0,10,4,0
0,1,3,1482,436,1,3.5,0,10,4,0
30,0,0,637,114,1,4.4,1,73,4,1
0,1,5,5263,691,0,4.1,0,26,4,1
0,1,0,1028,167,1,4,0,26,4,0
0,1,1,2362,556,1,4.1,0,26,4,0
0,1,2,1800,453,1,3,0,26,4,0
14,1,3,4916,638,1,4.1,0,26,4,0
0,1,4,1676,230,0,3.7,0,26,4,0
0,1,5,904,198,1,4.1,0,18,2,1
0,1,0,2128,271,1,3,0,18,2,0
0,1,1,2597,334,0,5,0,18,2,0
32,1,2,160,43,1,4.8,0,18,2,0
30,1,3,287,55,1,4.1,0,18,2,0
0,1,4,856,188,1,3,0,18,2,0
0,1,5,2019,380,1,4.1,0,16,2,1
0,1,0,1465,207,1,3.7,0,16,6,0
0,1,1,992,142,0,4,0,16,3,0
0,1,2,1630,396,1,4.1,0,16,0,0
30,1,3,1777,298,1,4.2,0,16,0,0
0,1,4,2700,404,1,4.1,0,16,0,0
0,1,5,2563,428,1,4.1,0,33,5,1
0,1,0,973,236,1,4.2,0,33,3,0
8,1,1,1614,264,1,3.5,0,33,2,0
32,1,2,2401,362,1,3.8,0,33,0,0
0,1,3,2979,493,1,4.1,0,33,4,0
0,1,4,2613,429,0,4.1,0,33,5,0
8,0,0,4476,746,1,4.4,1,35,0,1
29,1,5,1014,250,1,3.3,0,17,4,1
29,1,0,3532,736,1,3.2,0,17,4,0
0,1,1,2439,612,1,2,0,17,4,0
0,1,2,3186,802,1,3.5,0,17,4,0
0,1,3,5727,556,1,3.3,0,17,4,0
0,1,4,1290,333,0,1,0,17,4,0
30,0,0,259,61,1,1,0,25,5,1
0,1,5,1902,427,1,4.1,0,23,0,1
0,1,0,1307,390,1,4.8,0,23,3,0
32,1,1,1744,315,1,4.1,0,23,6,0
0,1,2,1708,387,1,5,0,23,1,0
31,1,3,1795,417,1,4.1,0,23,2,0
8,1,4,2360,544,1,4.2,0,23,0,0
32,0,0,1411,396,1,3.9,1,35,6,1
30,0,0,1672,297,1,4.3,0,20,3,1
30,0,0,1191,281,1,3.5,0,18,6,1
0,1,4,540,145,1,5,0,34,2,1
0,1,0,1104,285,1,4.6,0,34,2,0
0,1,1,2196,475,1,3.7,0,34,2,0
0,1,2,3811,798,1,3.7,0,34,2,0
29,1,3,386,113,1,4,0,34,2,0
30,1,9,434,60,1,4.9,0,29,6,1
0,1,0,1353,290,1,3.5,0,29,6,0
0,1,1,620,115,1,4.1,0,29,6,0
0,1,2,1188,185,0,4.1,0,29,6,0
0,1,3,2011,358,1,4,0,29,6,0
0,1,4,2960,392,1,4.1,0,29,6,0
0,1,5,2619,356,1,4.1,0,29,6,0
0,1,6,156,23,1,5,0,29,6,0
32,1,7,666,129,1,4.1,0,29,6,0
16,1,8,393,54,1,3.7,0,29,6,0
30,0,0,960,104,1,4.7,0,29,5,1
0,1,3,1716,376,1,3.4,0,23,5,1
0,1,0,2747,585,1,4.1,0,23,4,0
14,1,1,4014,823,0,4.1,0,23,4,0
0,1,2,2190,472,1,1,0,23,0,0
18,0,0,2385,392,1,3,0,21,2,1
30,0,0,1987,329,1,4.5,0,26,6,1
0,1,3,2494,461,1,3.7,1,16,6,1
0,1,0,2770,474,1,4.5,1,16,6,0
0,1,1,1921,394,1,4,1,16,4,0
0,1,2,2955,508,1,4,1,16,1,0
30,0,0,358,42,1,3.8,1,35,6,1
29,0,0,647,152,1,4.1,1,23,1,1
32,0,1,1346,329,1,5,1,15,1,1
8,0,0,411,120,1,2.5,1,15,1,0
8,0,0,2646,476,1,4.2,0,29,5,1
30,0,0,1195,279,1,4.2,1,16,0,1
30,0,0,1455,203,1,4,0,33,2,1
29,0,0,2235,309,1,3.8,0,27,2,1
0,1,7,3010,607,1,4.1,0,39,2,1
0,1,0,2544,496,1,5,0,39,2,0
29,1,1,7808,711,1,4.2,0,39,2,0
30,1,2,2527,498,1,4.1,0,39,2,0
0,1,3,2515,496,1,5,0,39,2,0
0,1,4,3059,581,1,4.1,0,39,2,0
0,1,5,6382,685,1,4.1,0,39,2,0
0,1,6,6053,611,1,4.1,0,39,2,0
8,0,0,1244,226,1,4.3,1,34,5,1
0,1,3,2123,416,1,5,1,16,2,1
14,1,0,673,171,1,4.1,1,16,2,0
0,1,1,1501,309,0,4.1,1,16,2,0
0,1,2,822,218,1,4,1,16,2,0
0,1,6,1184,280,0,4.1,1,41,2,1
8,1,0,654,193,1,2.6,1,41,5,0
0,1,1,673,176,1,5,1,41,3,0
0,1,2,655,209,1,3.5,1,41,6,0
0,1,3,733,185,1,4.1,1,41,0,0
